index,Year,Team,Age,Pos,G,PA,effective PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR,Name,Graduate
0,2018, 롯데,19.0,3B,87,226,226,211,24,49,13,1,4,76,25,0,1,12,2,0,58,7,0,1,0.232,0.279,0.360,0.639,-0.073,49.7,-1.09,한동희,고졸
1,2017, 롯데,28.0,3B,60,133,131,117,18,34,6,2,1,47,16,4,0,10,3,0,38,2,2,1,0.291,0.359,0.402,0.761,0.004,105.1,0.79,황진수,고졸
2,2023, LG,27.0,2B,122,331,314,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,-0.018,89.1,1.43,신민재,고졸
3,2013, LG,23.0,1B,93,240,234,217,31,58,10,1,4,82,25,8,5,13,3,0,71,1,6,1,0.267,0.316,0.378,0.694,-0.019,87.2,0.59,문선재,고졸
4,2015, 두산,27.0,1B,48,180,179,153,24,36,8,0,7,65,22,4,1,22,2,1,39,6,1,2,0.235,0.335,0.425,0.760,0.011,112.1,0.62,김재환,고졸
5,2015, 한화,21.0,CF,42,141,130,114,17,29,4,0,2,39,8,5,2,10,6,0,27,4,11,0,0.254,0.346,0.342,0.688,-0.022,88.9,0.25,장운호,고졸
6,2013, 롯데,29.0,LF,69,216,215,180,23,43,15,2,4,74,27,4,3,33,2,1,66,4,0,1,0.239,0.361,0.411,0.772,0.002,104.3,0.62,김대우,고졸
7,2013, 롯데,26.0,LF,40,166,161,137,19,36,10,0,0,46,10,8,5,21,3,0,31,1,5,0,0.263,0.373,0.336,0.709,-0.017,89.4,0.38,김문호,고졸
8,2020, SK,21.0,2B,66,207,202,182,23,43,4,0,3,56,14,1,1,19,0,0,28,3,5,1,0.236,0.307,0.308,0.615,-0.053,63.0,-0.37,최준우,고졸
9,2012, 두산,22.0,3B,92,173,167,154,28,41,8,0,0,49,14,9,8,7,5,0,17,7,6,1,0.266,0.317,0.318,0.635,-0.032,76.9,-0.08,허경민,고졸
10,2015, LG,23.0,C,126,313,306,279,26,76,11,1,8,113,37,2,1,19,7,0,55,10,7,1,0.272,0.333,0.405,0.738,-0.011,95.8,-1.99,유강남,고졸
11,2012, 두산,24.0,3B,81,238,232,210,29,57,11,2,2,78,22,4,3,18,3,0,23,2,6,1,0.271,0.336,0.371,0.707,0.001,106.1,1.81,최주환,고졸
12,2016, KIA,24.0,LF,47,144,142,132,18,35,8,4,2,57,15,1,2,9,1,0,38,2,2,0,0.265,0.317,0.432,0.749,-0.032,81.3,0.26,오준혁,고졸
13,2019, KIA,22.0,1B,57,163,163,150,14,38,8,1,0,48,14,3,2,9,4,0,29,3,0,0,0.253,0.313,0.320,0.633,-0.040,69.9,-0.19,류승현,고졸
14,2002, 롯데,20.0,DH,74,281,280,255,27,71,19,0,8,114,32,1,0,19,7,1,66,6,0,0,0.278,0.345,0.447,0.792,0.007,114.4,1.16,이대호,고졸
15,2022, 키움,24.0,1B,57,168,165,140,18,25,6,0,4,43,14,0,0,21,3,0,56,0,3,1,0.179,0.297,0.307,0.604,-0.040,68.9,-0.08,김수환,고졸
16,2019, NC,24.0,LF,123,399,394,374,44,103,14,5,5,142,46,12,4,16,1,0,67,3,5,3,0.275,0.305,0.380,0.685,-0.018,88.9,2.64,김태진,고졸
17,2005, LG,19.0,RF,106,340,337,314,41,76,10,3,8,116,42,3,1,17,4,0,69,6,3,2,0.242,0.288,0.369,0.657,-0.046,69.2,-0.06,정의윤,고졸
18,2019, 한화,19.0,1B,91,192,191,177,19,33,8,1,1,46,13,2,2,11,2,0,72,3,1,1,0.186,0.241,0.260,0.501,-0.083,33.4,-1.28,노시환,고졸
19,2021, LG,22.0,RF,62,171,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,-0.022,85.2,0.75,이재원,고졸
20,2020, 두산,22.0,2B,101,108,106,89,30,23,2,1,0,27,6,13,4,14,2,0,25,2,2,1,0.258,0.368,0.303,0.671,-0.005,99.2,0.67,이유찬,고졸
21,2022, 키움,20.0,SS,112,393,390,333,40,74,12,1,8,112,36,0,0,39,14,0,115,6,3,4,0.222,0.326,0.336,0.662,-0.016,89.8,0.03,김휘집,고졸
22,2008, 롯데,20.0,RF,80,250,248,218,31,66,11,1,3,88,17,2,3,28,2,0,35,4,2,0,0.303,0.387,0.404,0.791,0.033,134.1,1.66,손아섭,고졸
23,2010, LG,20.0,SS,125,417,410,352,59,85,13,6,13,149,61,13,2,44,7,0,137,1,7,7,0.241,0.332,0.423,0.755,-0.019,93.7,2.35,오지환,고졸
24,2022, 삼성,26.0,C,63,185,184,161,16,54,10,0,3,73,26,0,0,18,2,0,40,4,1,3,0.335,0.402,0.453,0.855,0.040,136.9,1.17,김재성,고졸
25,2020, 한화,25.0,2B,55,113,112,102,14,22,4,1,0,28,6,0,1,7,3,0,31,0,1,0,0.216,0.286,0.275,0.561,-0.076,45.3,-0.38,노태형,고졸
