Year,Age,Team,Name,rink
2021,21, NC,최정원,14221
2010,27, 롯데,문규현,10240
2022,26, 삼성,김재성,11344
2018,25, 넥센,김재현,10870
2009,19, KIA,안치홍,10014
2023,19, 키움,김동헌,15473
2016,24, SK,박승욱,10804
2018,24, 두산,김인태,11098
2013,29, 롯데,김대우,10271
2004,21, 삼성,조동찬,10329
2009,19, 두산,정수빈,10195
1999,19, 쌍방울,이진영,10492
2019,24, NC,김태진,11244
2012,25, SK,김성현,10636
2008,20, 롯데,손아섭,10261
2015,23, LG,유강남,10753
2005,20, KIA,이용규,10035
2003,19, 두산,나주환,10092
2018,21, NC,김찬형,12622
2014,24, LG,채은성,11215
2015,20, 넥센,김하성,11224
2006,22, 두산,고영민,10171
2022,26, 한화,이도윤,11414
2022,25, 한화,박상언,12587
2022,27, NC,박대온,11246
2020,22, 두산,이유찬,12894
2012,21, 삼성,정형식,10343
2019,22, KIA,류승현,12543
2023,25, KT,안치영,13006
2008,21, 우리,강정호,10394
2007,19, 두산,김현수,10187
2017,29, KT,김동욱,10309
2017,23, LG,강승호,11087
2006,20, 현대,차화준,10852
2019,26, KIA,황윤호,11363
2020,22, SK,박성한,12922
2018,25, 넥센,김규민,10868
2015,26, KIA,백용환,10003
2007,19, SK,이재원,10082
2013,23, LG,정주현,10480
2014,22, 한화,강경학,10676
2023,20, 롯데,윤동희,15048
2013,26, 롯데,김문호,10648
2021,21, LG,문보경,14137
2013,23, 넥센,박동원,10387
2010,24, 한화,전현태,10561
2020,24, KIA,황대인,11306
2023,20, 삼성,김영웅,15035
2005,19, 롯데,이원석,10180
2021,20, 한화,박정현,14704
2016,28, SK,최승준,11092
2015,20, KIA,박찬호,11261
2019,19, 삼성,김도환,14115
2018,18, 한화,정은원,13137
2022,19, KIA,김도영,15056
2023,27, LG,신민재,13056
2008,23, 두산,김재호,10174
2021,23, 롯데,김민수,12931
2008,19, KIA,김선빈,10008
2009,26, 삼성,손주인,10325
2018,24, 한화,지시완,11413
2002,21, 롯데,박기혁,10241
2021,26, NC,김기환,11400
2022,19, 키움,박찬혁,15068
2002,20, 롯데,이우민,11398
2013,26, SK,이명기,10119
2009,27, 롯데,박종윤,10243
2012,24, 두산,최주환,10182
2012,22, 두산,허경민,10184
1999,19, 해태,정성훈,10479
2023,22, NC,김한별,14716
2005,19, LG,정의윤,10655
2020,19, 삼성,김지찬,14618
2021,19, NC,김주원,14765
2013,21, 넥센,문우람,10860
2010,24, 넥센,유선정,10390
2005,23, SK,조중근,10406
2015,25, 두산,박건우,10189
2018,19, 롯데,한동희,13145
2021,22, 키움,예진원,13093
2011,26, 두산,윤석민,10644
2019,22, SK,안상현,12613
2020,23, KIA,김규성,12540
2010,25, SK,임훈,10120
2021,22, 롯데,추재현,13094
2019,19, 한화,노시환,14125
2015,20, KT,심우준,11334
2005,21, LG,이성열,10168
2016,27, LG,이형종,12516
2011,25, 넥센,오재일,10400
2015,25, 한화,신성현,11492
2017,23, KT,정현,11111
2010,20, LG,오지환,10475
2006,24, SK,김강민,10108
