year,name,club,position,debut,num,HS_Graduate
2023,문동주,한화,투수,2022,15013,y
2022,정철원,두산,투수,2018,13071,y
2021,이의리,KIA,투수,2021,14788,y
2020,소형준,KT,투수,2020,14600,y
2019,정우영,LG,투수,2019,14136,y
2018,강백호,KT,외야수,2018,13168,y
2017,이정후,넥센,내야수,2017,12906,y
2016,신재영,넥센,투수,2012,11149,n
2015,구자욱,삼성,내야수,2012,10892,y
2014,박민우,NC,내야수,2013,11137,y
2013,이재학,NC,투수,2010,10220,y
2012,서건창,넥센,내야수,2008,10855,y
2011,배영섭,삼성,외야수,2010,10337,n
2010,양의지,두산,포수,2006,10165,y
2009,이용찬,두산,투수,2007,10217,y
2008,최형우,삼성,외야수,2002,10344,y
2007,임태훈,두산,투수,2007,10222,y
2006,류현진,한화,투수,2006,10590,y
2005,오승환,삼성,투수,2005,10367,n
2004,오주원,현대,투수,2004,10445,y
2003,이동학,현대,투수,2000,10447,y
2002,조용준,현대,투수,2002,10455,n
2001,김태균,한화,내야수,2001,10552,y
2000,이승호,SK,투수,2000,10147,y
1999,홍성흔,두산,포수,1999,10256,n
1998,김수경,현대,투수,1998,10430,y
1997,이병규,LG,외야수,1997,10491,n
1996,박재홍,현대,외야수,1996,10113,n
1995,이동수,삼성,내야수,1992,1816,y
1994,류지현,LG,내야수,1994,1783,n
1993,양준혁,삼성,내야수,1993,10339,n
1992,염종석,롯데,투수,1992,1689,y
1991,조규제,쌍방울,투수,1991,1608,n
1990,김동수,LG,포수,1990,10386,n
1989,박정현,태평양,투수,1988,1408,y
1988,이용철,MBC,투수,1988,1414,n
1987,이정훈,빙그레,외야수,1987,1352,n
1986,김건우,MBC,투수,1986,1319,n
1985,이순철,해태,내야수,1985,1250,n
1984,윤석환,OB,투수,1984,1227,n
1983,박종훈,OB,외야수,1983,1139,n
