index,Year,Team,Age,Pos,G,PA,effective PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR,Name,Graduate
0,2019, 롯데,20,3B,59,207,207,187,12,38,9,0,2,53,9,1,0,18,0,0,57,3,0,2,0.203,0.271,0.283,0.554,-0.072,42.9,-1.12,한동희,고졸
1,2018, 롯데,29,3B,18,26,26,24,6,4,1,0,1,8,1,1,0,2,0,0,5,0,0,0,0.167,0.231,0.333,0.564,-0.118,18.0,-0.39,황진수,고졸
2,2024, LG,28,2B,4,16,15,12,1,4,0,0,0,4,3,0,1,3,0,0,2,1,1,0,0.333,0.467,0.333,0.800,0.093,168.7,0.22,신민재,고졸
3,2014, LG,24,1B,22,24,24,20,4,3,1,0,0,4,4,3,0,3,0,0,5,0,0,1,0.150,0.250,0.200,0.450,-0.139,4.0,0.07,문선재,고졸
4,2016, 두산,28,LF,134,568,565,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,0.325,0.407,0.628,1.035,0.091,168.4,6.29,김재환,고졸
5,2016, 한화,22,CF,51,85,82,76,7,18,2,1,0,22,11,0,0,4,2,0,16,1,3,0,0.237,0.293,0.289,0.582,-0.091,40.9,-0.38,장운호,고졸
6,2014, 롯데,30,LF,18,26,26,25,0,6,0,0,0,6,2,1,0,1,0,0,12,0,0,0,0.240,0.269,0.240,0.509,-0.126,13.7,-0.15,김대우,고졸
7,2014, 롯데,27,LF,71,222,216,192,28,41,11,3,2,64,27,4,0,19,5,0,51,2,6,0,0.214,0.301,0.333,0.634,-0.071,53.3,-1.91,김문호,고졸
8,2022, SSG,23,2B,10,16,16,12,0,3,0,0,0,3,1,0,0,3,0,0,3,0,0,1,0.250,0.375,0.250,0.625,-0.028,79.0,0.06,최준우,고졸
9,2013, 두산,23,3B,75,276,269,228,35,68,9,1,1,82,25,14,4,27,9,0,14,7,7,5,0.298,0.387,0.360,0.747,0.014,114.5,1.60,허경민,고졸
10,2016, LG,24,C,100,297,293,263,28,70,7,0,8,101,47,0,0,17,7,0,48,6,4,6,0.266,0.321,0.384,0.705,-0.043,73.4,1.99,유강남,고졸
11,2013, 두산,25,3B,47,100,100,91,12,27,5,1,2,40,10,1,0,8,0,1,9,3,0,1,0.297,0.350,0.440,0.790,0.012,113.4,0.59,최주환,고졸
12,2017, KIA,25,LF,14,13,13,12,1,3,0,0,0,3,1,0,0,1,0,0,3,0,0,0,0.250,0.308,0.250,0.558,-0.097,30.7,0.10,오준혁,고졸
13,2022, KIA,25,1B,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.290,-145.5,-0.03,류승현,고졸
14,2003, 롯데,21,1B,54,173,171,152,8,37,6,0,4,55,13,0,2,13,6,0,37,3,2,0,0.243,0.327,0.362,0.689,-0.033,74.8,-0.31,이대호,고졸
15,2023, 키움,25,1B,50,114,113,97,8,21,4,0,2,31,15,0,0,11,4,0,36,1,1,1,0.216,0.319,0.320,0.639,-0.038,72.1,-0.13,김수환,고졸
16,2020, NC,25,3B,37,88,87,83,10,18,1,1,1,24,6,2,2,4,0,0,22,0,1,0,0.217,0.253,0.289,0.542,-0.103,25.2,-0.35,김태진,고졸
17,2006, LG,20,RF,82,258,257,239,28,62,8,1,6,90,26,1,0,13,5,0,39,7,1,0,0.259,0.311,0.377,0.688,-0.012,92.5,0.70,정의윤,고졸
