index,홈,OPS,Name
0,홈경기,0.755,양의지
1,원정경기,0.876,양의지
9,광주무등경기장 야구장,0.480,양의지
10,군산월명종합운동장 야구장,0.550,양의지
11,대구시민운동장 야구장,1.277,양의지
12,목동야구장,0.767,양의지
13,사직야구장,1.352,양의지
14,서울종합운동장 야구장,0.693,양의지
15,인천 SSG 랜더스필드,0.988,양의지
16,한화생명 이글스 파크,0.819,양의지
0,홈경기,0.725,배영섭
1,원정경기,0.713,배영섭
9,광주무등경기장 야구장,0.680,배영섭
10,대구시민운동장 야구장,0.725,배영섭
11,목동야구장,0.806,배영섭
12,사직야구장,0.826,배영섭
13,서울종합운동장 야구장,0.709,배영섭
14,인천 SSG 랜더스필드,1.050,배영섭
15,청주야구장,0.000,배영섭
16,한화생명 이글스 파크,0.516,배영섭
0,홈경기,0.887,박민우
1,원정경기,0.706,박민우
10,광주-KIA 챔피언스 필드,0.457,박민우
11,대구시민운동장 야구장,0.387,박민우
12,마산종합운동장 야구장,0.887,박민우
13,목동야구장,0.906,박민우
14,사직야구장,0.915,박민우
15,서울종합운동장 야구장,0.710,박민우
16,인천 SSG 랜더스필드,0.690,박민우
17,포항야구장,0.853,박민우
18,한화생명 이글스 파크,0.706,박민우
0,홈경기,1.003,구자욱
1,원정경기,0.893,구자욱
3,KT 위즈,1.061,구자욱
11,광주-KIA 챔피언스 필드,0.684,구자욱
12,대구시민운동장 야구장,1.014,구자욱
13,마산종합운동장 야구장,0.837,구자욱
14,목동야구장,1.017,구자욱
15,사직야구장,1.058,구자욱
16,서울종합운동장 야구장,0.751,구자욱
17,인천 SSG 랜더스필드,1.029,구자욱
18,케이티위즈파크,1.104,구자욱
19,포항야구장,0.937,구자욱
20,한화생명 이글스 파크,0.814,구자욱
0,홈경기,0.893,이정후
1,원정경기,0.731,이정후
3,KT 위즈,0.620,이정후
11,고척스카이돔,0.893,이정후
12,광주-KIA 챔피언스 필드,0.856,이정후
13,대구 삼성 라이온즈파크,0.777,이정후
14,마산종합운동장 야구장,0.794,이정후
15,사직야구장,0.674,이정후
16,서울종합운동장 야구장,0.615,이정후
17,인천 SSG 랜더스필드,0.579,이정후
18,케이티위즈파크,0.483,이정후
19,한화생명 이글스 파크,1.137,이정후
0,홈경기,0.920,강백호
1,원정경기,0.835,강백호
11,고척스카이돔,0.896,강백호
12,광주-KIA 챔피언스 필드,0.888,강백호
13,대구 삼성 라이온즈파크,0.862,강백호
14,마산종합운동장 야구장,0.757,강백호
15,사직야구장,1.190,강백호
16,서울종합운동장 야구장,0.808,강백호
17,인천 SSG 랜더스필드,0.901,강백호
18,케이티위즈파크,0.920,강백호
19,한화생명 이글스 파크,0.235,강백호
